SiteName,MonitorDate,Concentration,ItemUnit
新竹,2016-04-15,20,μg/m3
竹東,2016-04-15,19,μg/m3
平鎮,2016-04-15,23,μg/m3
桃園,2016-04-15,22,μg/m3
萬華,2016-04-15,18,μg/m3
士林,2016-04-15,12,μg/m3
板橋,2016-04-15,20,μg/m3
汐止,2016-04-15,17,μg/m3
基隆,2016-04-15,17,μg/m3
馬公,2016-04-12,18,μg/m3
金門,2016-04-12,,μg/m3
馬祖,2016-04-12,15,μg/m3
宜蘭,2016-04-12,10,μg/m3
陽明,2016-04-12,9,μg/m3
花蓮,2016-04-12,6,μg/m3
臺東,2016-04-12,4,μg/m3
恆春,2016-04-12,,μg/m3
屏東,2016-04-12,18,μg/m3
前金,2016-04-12,25,μg/m3
美濃,2016-04-12,13,μg/m3
臺南,2016-04-12,33,μg/m3
新營,2016-04-12,42,μg/m3
嘉義,2016-04-12,47,μg/m3
朴子,2016-04-12,39,μg/m3
斗六,2016-04-12,49,μg/m3
南投,2016-04-12,35,μg/m3
彰化,2016-04-12,39,μg/m3
忠明,2016-04-12,29,μg/m3
豐原,2016-04-12,30,μg/m3
三義,2016-04-12,26,μg/m3
苗栗,2016-04-12,37,μg/m3
新竹,2016-04-12,,μg/m3
竹東,2016-04-12,23,μg/m3
平鎮,2016-04-12,31,μg/m3
桃園,2016-04-12,30,μg/m3
萬華,2016-04-12,25,μg/m3
士林,2016-04-12,19,μg/m3
板橋,2016-04-12,26,μg/m3
汐止,2016-04-12,24,μg/m3
基隆,2016-04-12,21,μg/m3
馬公,2016-04-09,24,μg/m3
金門,2016-04-09,30,μg/m3
馬祖,2016-04-09,7,μg/m3
宜蘭,2016-04-09,30,μg/m3
陽明,2016-04-09,19,μg/m3
花蓮,2016-04-09,23,μg/m3
臺東,2016-04-09,19,μg/m3
恆春,2016-04-09,18,μg/m3
屏東,2016-04-09,20,μg/m3
前金,2016-04-09,19,μg/m3
美濃,2016-04-09,17,μg/m3
臺南,2016-04-09,31,μg/m3
新營,2016-04-09,41,μg/m3
嘉義,2016-04-09,40,μg/m3
朴子,2016-04-09,45,μg/m3
斗六,2016-04-09,45,μg/m3
南投,2016-04-09,43,μg/m3
彰化,2016-04-09,53,μg/m3
忠明,2016-04-09,39,μg/m3
豐原,2016-04-09,39,μg/m3
三義,2016-04-09,38,μg/m3
苗栗,2016-04-09,41,μg/m3
新竹,2016-04-09,34,μg/m3
竹東,2016-04-09,50,μg/m3
平鎮,2016-04-09,44,μg/m3
桃園,2016-04-09,42,μg/m3
萬華,2016-04-09,38,μg/m3
士林,2016-04-09,31,μg/m3
板橋,2016-04-09,41,μg/m3
汐止,2016-04-09,33,μg/m3
基隆,2016-04-09,26,μg/m3
馬公,2016-04-06,14,μg/m3
金門,2016-04-06,19,μg/m3
馬祖,2016-04-06,21,μg/m3
宜蘭,2016-04-06,21,μg/m3
陽明,2016-04-06,,μg/m3
花蓮,2016-04-06,15,μg/m3
臺東,2016-04-06,12,μg/m3
恆春,2016-04-06,10,μg/m3
屏東,2016-04-06,16,μg/m3
前金,2016-04-06,19,μg/m3
美濃,2016-04-06,,μg/m3
臺南,2016-04-06,29,μg/m3
新營,2016-04-06,30,μg/m3
嘉義,2016-04-06,23,μg/m3
朴子,2016-04-06,38,μg/m3
斗六,2016-04-06,27,μg/m3
南投,2016-04-06,32,μg/m3
彰化,2016-04-06,34,μg/m3
忠明,2016-04-06,29,μg/m3
豐原,2016-04-06,27,μg/m3
三義,2016-04-06,29,μg/m3
苗栗,2016-04-06,31,μg/m3
新竹,2016-04-06,35,μg/m3
竹東,2016-04-06,,μg/m3
平鎮,2016-04-06,52,μg/m3
桃園,2016-04-06,,μg/m3
萬華,2016-04-06,44,μg/m3
士林,2016-04-06,42,μg/m3
板橋,2016-04-06,43,μg/m3
汐止,2016-04-06,41,μg/m3
基隆,2016-04-06,36,μg/m3
馬公,2016-04-03,27,μg/m3
金門,2016-04-03,53,μg/m3
馬祖,2016-04-03,,μg/m3
宜蘭,2016-04-03,28,μg/m3
陽明,2016-04-03,31,μg/m3
花蓮,2016-04-03,20,μg/m3
臺東,2016-04-03,16,μg/m3
恆春,2016-04-03,15,μg/m3
屏東,2016-04-03,30,μg/m3
前金,2016-04-03,32,μg/m3
美濃,2016-04-03,26,μg/m3
臺南,2016-04-03,35,μg/m3
新營,2016-04-03,37,μg/m3
嘉義,2016-04-03,32,μg/m3
朴子,2016-04-03,,μg/m3
斗六,2016-04-03,38,μg/m3
南投,2016-04-03,44,μg/m3
彰化,2016-04-03,48,μg/m3
忠明,2016-04-03,46,μg/m3
豐原,2016-04-03,,μg/m3
三義,2016-04-03,42,μg/m3
苗栗,2016-04-03,37,μg/m3
新竹,2016-04-03,43,μg/m3
竹東,2016-04-03,43,μg/m3
平鎮,2016-04-03,44,μg/m3
桃園,2016-04-03,,μg/m3
萬華,2016-04-03,37,μg/m3
士林,2016-04-03,38,μg/m3
板橋,2016-04-03,42,μg/m3
汐止,2016-04-03,39,μg/m3
基隆,2016-04-03,34,μg/m3
馬公,2016-03-31,,μg/m3
金門,2016-03-31,69,μg/m3
馬祖,2016-03-31,60,μg/m3
宜蘭,2016-03-31,30,μg/m3
陽明,2016-03-31,21,μg/m3
花蓮,2016-03-31,24,μg/m3
臺東,2016-03-31,18,μg/m3
恆春,2016-03-31,21,μg/m3
屏東,2016-03-31,38,μg/m3
前金,2016-03-31,44,μg/m3
美濃,2016-03-31,29,μg/m3
臺南,2016-03-31,45,μg/m3
新營,2016-03-31,68,μg/m3
嘉義,2016-03-31,67,μg/m3
朴子,2016-03-31,,μg/m3
斗六,2016-03-31,78,μg/m3
南投,2016-03-31,60,μg/m3
彰化,2016-03-31,72,μg/m3
忠明,2016-03-31,60,μg/m3
豐原,2016-03-31,54,μg/m3
三義,2016-03-31,,μg/m3
苗栗,2016-03-31,64,μg/m3
新竹,2016-03-31,73,μg/m3
竹東,2016-03-31,68,μg/m3
平鎮,2016-03-31,75,μg/m3
桃園,2016-03-31,,μg/m3
萬華,2016-03-31,60,μg/m3
士林,2016-03-31,56,μg/m3
板橋,2016-03-31,69,μg/m3
汐止,2016-03-31,54,μg/m3
基隆,2016-03-31,45,μg/m3
馬公,2016-03-28,30,μg/m3
金門,2016-03-28,50,μg/m3
馬祖,2016-03-28,49,μg/m3
宜蘭,2016-03-28,27,μg/m3
陽明,2016-03-28,29,μg/m3
花蓮,2016-03-28,26,μg/m3
臺東,2016-03-28,26,μg/m3
恆春,2016-03-28,23,μg/m3
屏東,2016-03-28,30,μg/m3
前金,2016-03-28,31,μg/m3
美濃,2016-03-28,22,μg/m3
臺南,2016-03-28,38,μg/m3
新營,2016-03-28,43,μg/m3
嘉義,2016-03-28,40,μg/m3
朴子,2016-03-28,38,μg/m3
斗六,2016-03-28,40,μg/m3
南投,2016-03-28,30,μg/m3
彰化,2016-03-28,37,μg/m3
忠明,2016-03-28,31,μg/m3
豐原,2016-03-28,26,μg/m3
三義,2016-03-28,30,μg/m3
苗栗,2016-03-28,33,μg/m3
新竹,2016-03-28,31,μg/m3
竹東,2016-03-28,28,μg/m3
平鎮,2016-03-28,33,μg/m3
桃園,2016-03-28,31,μg/m3
萬華,2016-03-28,29,μg/m3
士林,2016-03-28,27,μg/m3
板橋,2016-03-28,31,μg/m3
汐止,2016-03-28,29,μg/m3
基隆,2016-03-28,28,μg/m3
馬公,2016-03-25,16,μg/m3
金門,2016-03-25,29,μg/m3
馬祖,2016-03-25,27,μg/m3
宜蘭,2016-03-25,10,μg/m3
陽明,2016-03-25,7,μg/m3
花蓮,2016-03-25,12,μg/m3
臺東,2016-03-25,7,μg/m3
恆春,2016-03-25,4,μg/m3
屏東,2016-03-25,,μg/m3
前金,2016-03-25,34,μg/m3
美濃,2016-03-25,17,μg/m3
臺南,2016-03-25,27,μg/m3
新營,2016-03-25,25,μg/m3
嘉義,2016-03-25,27,μg/m3
朴子,2016-03-25,,μg/m3
斗六,2016-03-25,23,μg/m3
南投,2016-03-25,20,μg/m3
彰化,2016-03-25,16,μg/m3
忠明,2016-03-25,14,μg/m3
豐原,2016-03-25,8,μg/m3
三義,2016-03-25,12,μg/m3
苗栗,2016-03-25,20,μg/m3
新竹,2016-03-25,19,μg/m3
竹東,2016-03-25,13,μg/m3
平鎮,2016-03-25,19,μg/m3
桃園,2016-03-25,17,μg/m3
萬華,2016-03-25,19,μg/m3
士林,2016-03-25,18,μg/m3
板橋,2016-03-25,20,μg/m3
汐止,2016-03-25,17,μg/m3
基隆,2016-03-25,15,μg/m3
馬公,2016-03-22,24,μg/m3
金門,2016-03-22,,μg/m3
馬祖,2016-03-22,30,μg/m3
宜蘭,2016-03-22,20,μg/m3
陽明,2016-03-22,9,μg/m3
花蓮,2016-03-22,14,μg/m3
臺東,2016-03-22,12,μg/m3
恆春,2016-03-22,10,μg/m3
屏東,2016-03-22,37,μg/m3
前金,2016-03-22,47,μg/m3
美濃,2016-03-22,25,μg/m3
臺南,2016-03-22,62,μg/m3
新營,2016-03-22,60,μg/m3
嘉義,2016-03-22,63,μg/m3
朴子,2016-03-22,56,μg/m3
斗六,2016-03-22,58,μg/m3
南投,2016-03-22,49,μg/m3
彰化,2016-03-22,46,μg/m3
忠明,2016-03-22,43,μg/m3
豐原,2016-03-22,36,μg/m3
三義,2016-03-22,19,μg/m3
苗栗,2016-03-22,43,μg/m3
新竹,2016-03-22,36,μg/m3
竹東,2016-03-22,34,μg/m3
平鎮,2016-03-22,29,μg/m3
桃園,2016-03-22,34,μg/m3
萬華,2016-03-22,29,μg/m3
士林,2016-03-22,26,μg/m3
板橋,2016-03-22,32,μg/m3
汐止,2016-03-22,32,μg/m3
基隆,2016-03-22,25,μg/m3
馬公,2016-03-19,15,μg/m3
金門,2016-03-19,,μg/m3
馬祖,2016-03-19,46,μg/m3
宜蘭,2016-03-19,,μg/m3
陽明,2016-03-19,8,μg/m3
花蓮,2016-03-19,19,μg/m3
臺東,2016-03-19,17,μg/m3
恆春,2016-03-19,21,μg/m3
